                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     44,                 1.4349,                 1.6197,                 2.0057,                0.65608,                0.72222,                0.73349,                0.48297,                 1.2596,                 1.5185,                 1.9815,             0.00095736,             0.00095736,             0.00095736
                     45,                 1.4289,                 1.5696,                 1.9965,                0.73021,                0.64836,                0.71472,                0.48688,                 1.2182,                   1.75,                 1.8757,             0.00094085,             0.00094085,             0.00094085
                     46,                 1.3873,                 1.5367,                 1.9539,                0.82255,                 0.6351,                0.75325,                0.49561,                 1.2796,                 1.5619,                 1.8855,             0.00092435,             0.00092435,             0.00092435
                     47,                 1.3946,                  1.507,                 1.9755,                0.69031,                0.69444,                0.73921,                0.47591,                 1.3252,                 1.7109,                 2.0329,             0.00090785,             0.00090785,             0.00090785
                     48,                 1.3703,                 1.5515,                 1.9361,                0.61723,                0.59227,                0.60615,                0.37606,                 1.3845,                 2.0389,                 1.9956,             0.00089134,             0.00089134,             0.00089134
                     49,                 1.3621,                  1.514,                 1.9411,                0.69489,                0.73749,                0.74347,                 0.4948,                  1.233,                 1.4791,                 1.8646,             0.00087484,             0.00087484,             0.00087484
                     50,                 1.3349,                 1.4411,                 1.8963,                0.75667,                0.66957,                0.75693,                0.44892,                 1.3333,                 1.7657,                 2.0371,             0.00085834,             0.00085834,             0.00085834
                     51,                  1.372,                 1.4927,                 1.9165,                0.71717,                0.70833,                0.73304,                0.50366,                 1.2138,                 1.6072,                 1.8894,             0.00084184,             0.00084184,             0.00084184
                     52,                 1.3541,                 1.4381,                 1.8917,                0.75236,                0.70833,                0.75918,                0.52848,                 1.0433,                 1.5198,                 1.7524,             0.00082533,             0.00082533,             0.00082533
                     53,                 1.3254,                 1.4419,                 1.9019,                0.82975,                0.64879,                  0.776,                0.55527,                 1.1383,                 1.5613,                 1.7908,             0.00080883,             0.00080883,             0.00080883
                     54,                 1.2656,                 1.3775,                 1.8376,                0.82527,                0.68145,                0.76689,                0.53544,                 1.2388,                 1.4031,                 1.7919,             0.00079233,             0.00079233,             0.00079233
                     55,                 1.2885,                 1.4359,                 1.8832,                0.70878,                0.70521,                 0.7209,                0.48831,                 1.2371,                 1.4619,                 1.8587,             0.00077582,             0.00077582,             0.00077582
                     56,                 1.3363,                  1.446,                 1.9012,                0.80711,                0.65865,                0.72676,                 0.5234,                 1.1282,                 1.7306,                 1.7949,             0.00075932,             0.00075932,             0.00075932
                     57,                 1.2836,                 1.3922,                  1.846,                0.82307,                0.67659,                0.77731,                0.57049,                 1.1364,                   1.36,                 1.7831,             0.00074282,             0.00074282,             0.00074282
                     58,                 1.2813,                  1.394,                 1.8355,                0.85807,                0.63843,                0.74476,                0.52362,                 1.1464,                 1.5838,                 1.7728,             0.00072631,             0.00072631,             0.00072631
                     59,                 1.2961,                 1.3995,                 1.8493,                 0.8069,                0.66375,                0.78229,                0.57403,                 1.0446,                 1.4701,                 1.7008,             0.00070981,             0.00070981,             0.00070981
                     60,                 1.2584,                 1.3483,                 1.8495,                 0.8425,                0.66822,                0.76407,                 0.5217,                 1.1517,                 1.5184,                 1.8033,             0.00069331,             0.00069331,             0.00069331
                     61,                 1.2929,                  1.408,                  1.831,                0.79689,                0.69091,                0.81281,                0.60043,                  1.125,                 1.2047,                 1.7395,              0.0006768,              0.0006768,              0.0006768
                     62,                 1.2361,                 1.3358,                 1.8065,                0.82484,                  0.616,                0.74462,                0.53233,                 1.0805,                 1.5772,                 1.7283,              0.0006603,              0.0006603,              0.0006603
                     63,                 1.2109,                 1.3102,                 1.7853,                0.80628,                0.68056,                0.77227,                0.55883,                 1.1587,                 1.4421,                 1.7557,              0.0006438,              0.0006438,              0.0006438
                     64,                 1.2044,                 1.3369,                 1.7803,                0.76653,                0.76455,                0.81733,                0.62679,                 1.0127,                 1.3349,                  1.666,             0.00062729,             0.00062729,             0.00062729
                     65,                 1.2173,                 1.2998,                 1.7998,                0.82866,                0.69444,                0.79933,                0.58104,                 1.0782,                 1.3377,                 1.7361,             0.00061079,             0.00061079,             0.00061079
                     66,                 1.2073,                 1.2767,                 1.7777,                0.73269,                0.77778,                0.78487,                0.57319,                 1.0242,                 1.3564,                 1.6705,             0.00059429,             0.00059429,             0.00059429
                     67,                 1.2257,                 1.2886,                 1.7754,                0.80856,                0.62368,                0.73815,                0.55625,                0.97703,                 1.4806,                 1.6294,             0.00057778,             0.00057778,             0.00057778
                     68,                 1.2408,                 1.3616,                 1.7986,                0.68994,                 0.7478,                0.77861,                0.56256,                 1.0247,                 1.3525,                 1.6923,             0.00056128,             0.00056128,             0.00056128
                     69,                 1.1949,                 1.3249,                  1.768,                0.82769,                0.65278,                0.78234,                0.55037,                 1.1173,                 1.4728,                  1.742,             0.00054478,             0.00054478,             0.00054478
                     70,                 1.1849,                 1.2976,                 1.7584,                0.71671,                0.67668,                0.73648,                0.54305,                 1.0775,                 1.4705,                 1.7017,             0.00052827,             0.00052827,             0.00052827
                     71,                 1.1494,                 1.2402,                 1.7349,                0.74285,                 0.6954,                0.76376,                0.57903,                 1.0709,                 1.5488,                 1.7459,             0.00051177,             0.00051177,             0.00051177
                     72,                 1.1823,                 1.2459,                 1.7505,                0.65403,                0.76389,                0.77476,                0.58485,                 1.0381,                 1.3081,                 1.6203,             0.00049527,             0.00049527,             0.00049527
                     73,                 1.1068,                  1.211,                 1.6847,                0.79431,                0.68068,                0.76785,                0.57402,                0.97295,                 1.4383,                 1.5947,             0.00047876,             0.00047876,             0.00047876
                     74,                 1.1015,                 1.2038,                 1.6828,                0.83897,                0.68056,                0.79491,                0.60772,                0.97153,                 1.3189,                 1.6025,             0.00046226,             0.00046226,             0.00046226
                     75,                 1.0958,                 1.1742,                   1.68,                0.76738,                0.76827,                0.78965,                 0.6031,                0.93012,                 1.3519,                 1.6186,             0.00044576,             0.00044576,             0.00044576
                     76,                 1.1277,                 1.1991,                 1.6764,                0.83043,                0.61689,                0.73258,                 0.5628,                 0.9717,                 1.5032,                 1.5836,             0.00042925,             0.00042925,             0.00042925
                     77,                 1.1404,                 1.1895,                 1.6943,                0.81091,                0.66667,                0.77389,                0.58668,                0.99436,                 1.2637,                 1.6188,             0.00041275,             0.00041275,             0.00041275
                     78,                 1.0969,                 1.2085,                 1.6658,                0.83878,                0.73046,                0.83707,                0.64157,                 1.0007,                 1.1729,                 1.6314,             0.00039625,             0.00039625,             0.00039625
                     79,                  1.087,                 1.1703,                 1.6667,                0.76326,                0.76348,                0.81647,                0.62817,                0.96847,                 1.2169,                 1.6069,             0.00037974,             0.00037974,             0.00037974
                     80,                 1.1037,                 1.1817,                 1.6787,                0.78562,                0.73611,                0.78335,                0.59436,                0.97575,                 1.3742,                 1.6178,             0.00036324,             0.00036324,             0.00036324
                     81,                 1.0847,                 1.1367,                 1.6539,                0.79532,                   0.75,                0.80297,                0.61867,                0.97986,                 1.3829,                 1.5862,             0.00034674,             0.00034674,             0.00034674
                     82,                   1.08,                 1.1427,                 1.6484,                0.79114,                0.72085,                0.79482,                 0.6212,                 1.0002,                 1.3705,                 1.6255,             0.00033023,             0.00033023,             0.00033023
                     83,                 1.1016,                 1.1708,                 1.6857,                0.85977,                0.70681,                0.82177,                0.64737,                0.87736,                 1.1335,                 1.4902,             0.00031373,             0.00031373,             0.00031373
                     84,                  1.099,                 1.1629,                 1.6762,                0.76858,                0.77778,                0.84429,                0.63333,                 1.0244,                 1.2156,                 1.5938,             0.00029723,             0.00029723,             0.00029723
                     85,                 1.0892,                 1.1589,                 1.6866,                0.81563,                0.67674,                0.81817,                0.63015,                0.92068,                 1.3654,                 1.5449,             0.00028072,             0.00028072,             0.00028072
                     86,                 1.0419,                 1.0788,                 1.6272,                0.78201,                0.76774,                0.84399,                0.66361,                0.88374,                 1.2645,                 1.5212,             0.00026422,             0.00026422,             0.00026422
                     87,                 1.0906,                 1.1286,                 1.6783,                0.84702,                0.67831,                0.81091,                0.62407,                0.97945,                 1.3528,                 1.6216,             0.00024772,             0.00024772,             0.00024772
                     88,                 1.0742,                 1.1418,                 1.6435,                 0.8206,                0.73611,                0.82946,                0.64768,                 0.9207,                 1.2562,                  1.558,             0.00023121,             0.00023121,             0.00023121
                     89,                 1.0651,                 1.0959,                 1.6189,                0.83728,                0.71341,                 0.8279,                   0.66,                0.88713,                 1.3229,                 1.5278,             0.00021471,             0.00021471,             0.00021471
                     90,                0.87057,                 0.9538,                 1.4821,                0.81733,                0.73293,                0.79183,                0.62337,                0.99853,                 1.4148,                 1.5522,             0.00019821,             0.00019821,             0.00019821
                     91,                0.82366,                0.81688,                 1.4245,                0.84044,                0.77917,                0.82239,                0.65216,                0.90827,                 1.2476,                 1.5248,              0.0001817,              0.0001817,              0.0001817
                     92,                0.81733,                 0.8098,                 1.4366,                  0.837,                0.77945,                0.85203,                0.68489,                0.89341,                 1.1589,                 1.5115,              0.0001652,              0.0001652,              0.0001652
                     93,                0.80227,                0.78028,                 1.4255,                0.88845,                0.72273,                0.84047,                0.66789,                0.91318,                 1.2127,                 1.5405,              0.0001487,              0.0001487,              0.0001487
                     94,                0.83408,                0.75403,                 1.4276,                0.84609,                0.83922,                0.86436,                0.68083,                0.89884,                 1.1127,                 1.5167,             0.00013219,             0.00013219,             0.00013219
                     95,                0.78778,                0.74497,                 1.4072,                0.81727,                0.83105,                 0.8659,                0.68701,                0.87563,                  1.138,                 1.5411,             0.00011569,             0.00011569,             0.00011569
                     96,                0.77938,                0.71236,                 1.4137,                0.81999,                0.79167,                0.85373,                0.68922,                0.89021,                 1.1879,                 1.5193,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     97,                0.75621,                0.72912,                 1.3718,                0.88868,                0.70499,                0.85191,                0.67932,                0.88873,                 1.1825,                 1.5371,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     98,                0.76135,                0.69735,                 1.3806,                0.86178,                0.76272,                 0.8468,                0.67709,                0.90248,                 1.2212,                 1.5391,              6.618e-05,              6.618e-05,              6.618e-05
                     99,                0.74443,                0.70674,                 1.3605,                0.79711,                 0.8169,                0.85956,                0.69172,                0.88644,                 1.2046,                 1.5159,             4.9677e-05,             4.9677e-05,             4.9677e-05
